,A,ACAd,ACAv,AId,AIp,AIv,AL,AM,AUDd,AUDp,AUDpo,AUDv,DP,ECT,FRP,GU,ILA,LI,LLA,LM,MM,MOp,MOs,ORBl,ORBm,P,PERI,PL,PM,POR,PORa,RL,RSPagl,RSPd,RSPv,SSp-bfd,SSp-lj,SSp-ll,SSp-nm,SSp-tr,SSp-ul,SSp-un,SSs,TEa,TEp,V1,VISC
MM,0.93142965065,4.1449211122,3.93275247025,6.62179331018,5.81681603933,6.5709705389,2.35034872366,0.653394437165,3.37323291441,3.73127215175,3.83067349461,4.30037154055,3.17800975002,4.42718300365,6.92561127041,5.8166644894,6.01387600922,3.23215301807,2.77033826393,2.9514910823,,4.60355144304,4.91014594609,7.48966151072,7.34888751471,3.85282593974,4.90913223334,6.66091807924,0.822702433371,3.74971015577,3.95733031596,1.57105204774,0.527359247953,0.727732907352,1.05641490435,2.950018598,4.40488515219,2.32655646259,5.39697703622,1.46866049325,3.36544475936,2.57943840859,4.08770009929,4.7500866664,3.88190338017,2.21019504479,5.07117640949
MOp,3.86950670166,1.96089472572,2.71542094015,2.79025553407,5.43933989023,3.9941152484,5.19041706904,3.96476457336,4.90852316544,5.28183548684,5.90635778092,5.68896368572,5.6200355299,6.41953875257,2.34151823496,3.17353550091,3.03684887682,6.01724040491,5.31181500168,6.01779681236,4.60355144304,,0.991224175321,3.1740159768,2.91032392646,7.10103571864,6.42188058298,2.73365143814,5.20098370742,6.54894301844,6.44577091049,4.59048428921,4.36465844871,4.55962505536,5.06847275109,2.90649566746,1.17362727329,2.28999915891,1.96559378159,3.13583909341,1.29299204474,2.22128111199,3.74962170031,5.98424738774,6.15948702673,6.0395731689,4.93810504106
MOs,4.31075017084,1.32884491787,2.11493491234,3.53520670708,6.42331334143,4.92885620553,5.86692616455,4.31438610301,5.73678355804,6.12804453014,6.72129534962,6.56771756383,6.37744334351,7.2610745276,2.18588735161,4.13052035818,2.0456547285,6.74687173245,6.03887312268,6.70676098068,4.91014594609,0.991224175321,,3.62867608926,2.44645669292,7.79878921456,7.3106219188,1.89727871119,5.60056378641,7.29649074921,7.23063724526,5.18323377796,4.57940261402,4.71892825038,5.18087351011,3.72727067844,2.16296085502,2.61737694856,2.8932409166,3.49540731758,1.94875509716,2.84963022534,4.69213383348,6.88587144957,6.96026025102,6.59913616748,5.90591519236
ORBl,6.63083837158,4.94299903833,5.73281466502,1.23742884311,5.69628975414,3.04989655323,7.35558633125,6.83656926165,6.56996805203,6.80867850252,7.5094165638,6.98767259897,7.48453110421,7.84443139195,2.07931269892,2.83830137594,5.08708034065,7.94300650757,7.31184236434,8.07466147061,7.48966151072,3.1740159768,3.62867608926,,2.89086553408,9.053368369,7.57619765278,3.93732960935,7.93584886226,8.3677780626,8.12777665505,7.02021149928,7.3529159225,7.58679508214,8.11718333573,4.97255929876,3.09029716871,5.31161640171,2.26729383219,6.05579860724,4.17601923318,4.91350592402,4.94024875904,7.10070231858,7.80006377678,8.43261467924,5.58748747279
ORBm,6.70759760948,3.54025232446,4.21201228254,3.64005378917,7.76137434976,5.52655172489,8.09934070971,6.74197290483,7.74156628303,8.08949884337,8.74353197919,8.44115682537,8.50273005415,9.22131453553,0.909586457652,4.975474444,2.67578640597,8.91140818769,8.20920662499,8.92382911306,7.34888751471,2.91032392646,2.44645669292,2.89086553408,,10.0034107403,9.14442626974,1.31435133831,8.01867441334,9.43307845912,9.30612338717,7.49395668633,7.02577017153,7.16346834426,7.61807073324,5.77460149284,3.79418889131,5.03664083229,3.82807789791,5.91523883519,4.18843854328,5.12244687756,6.3932233954,8.68471065768,9.00825254997,8.93776916214,7.42071787652
P,3.79785225724,7.49532480622,7.51944580601,7.88046644612,4.61126612509,6.83419408378,1.93364669539,4.04674162641,2.49881930824,2.34996007807,1.69738800055,2.46089165935,1.56906261305,1.76682984639,9.32866945224,6.45538829862,9.39592216095,1.11582297281,1.79839504715,1.092415994,3.85282593974,7.10103571864,7.79878921456,9.053368369,10.0034107403,,2.42518615684,9.69420462773,3.08790694155,0.745710266844,1.1271415163,2.70262291845,4.37766532549,4.55698636948,4.66792287206,4.25188393352,6.29735576532,5.35982281628,6.80086396469,4.61330516083,5.86510649682,4.94917774321,4.16771519424,2.68411313329,1.42563991847,1.6787317426,4.11340529339
PERI,4.37735255175,7.43257568592,7.70605341782,6.34229309372,2.33447440928,4.91126360034,2.58125529832,4.76611471318,1.71307449127,1.28810002951,1.11137881739,0.752269380076,1.77536027645,0.670439297346,8.34198555281,4.7668527008,9.2046854522,1.9367976647,2.15185155725,2.31106792257,4.90913223334,6.42188058298,7.3106219188,7.57619765278,9.14442626974,2.42518615684,,9.15456884114,4.40483682942,1.76930470277,1.35415376168,3.34744863797,5.34945837253,5.62024786146,5.935071918,3.61277086182,5.36479625926,5.40031673467,5.48248918538,4.95365148335,5.41887832968,4.68243501543,2.75703761585,0.475868251803,1.18777956552,3.37648788298,2.05563803193
PL,6.14520642817,2.5856139552,3.13320219208,4.4126752825,8.07509288879,6.16653837736,7.76147681613,6.10355508091,7.61537311769,7.99915499073,8.60569659416,8.41931996405,8.27325101773,9.13542761686,1.86833069047,5.48631866263,1.36605110872,8.64414777957,7.93613717686,8.60192788311,6.66091807924,2.73365143814,1.89727871119,3.93732960935,1.31435133831,9.69420462773,9.15456884114,,7.39656287963,9.19334795423,9.12307100503,7.06351868747,6.27497480378,6.36716323344,6.77381334426,5.60457503257,3.84941922154,4.44587739389,4.24400656844,5.30918424077,3.84439338312,4.74567608614,6.47428036152,8.71789657696,8.84897154557,8.46295599077,7.62860087804
PM,1.33458635573,4.91901506717,4.74333242729,6.98512533699,5.61049817216,6.71140764439,1.83098404847,1.2930253759,3.03255737565,3.33203046122,3.29764040858,3.87193922475,2.63177550701,3.86157011457,7.54102690338,6.01751933473,6.8040172671,2.59452034923,2.25985917942,2.2739460077,0.822702433371,5.20098370742,5.60056378641,7.93584886226,8.01867441334,3.08790694155,4.40483682942,7.39656287963,,3.06827092074,3.32457336242,1.26728160275,1.3414786275,1.47831693362,1.6027038088,3.1350024382,4.85041538688,2.98471159181,5.76051582821,2.10560963844,3.92318053613,3.05222224158,4.06248321148,4.31326301008,3.29945242394,1.4178393374,4.8800321944
POR,3.5169539504,7.09737889826,7.19152502688,7.18204739391,3.87856363568,6.09460171725,1.53471656459,3.82332152469,1.79788642187,1.61322815204,0.951677739284,1.72141422602,0.930350534243,1.09891469362,8.72906138882,5.73341918941,8.97966733963,0.570438563128,1.26402921527,0.799107380248,3.74971015577,6.54894301844,7.29649074921,8.3677780626,9.43307845912,0.745710266844,1.76930470277,9.19334795423,3.06827092074,,0.416621311471,2.38538572655,4.25652325038,4.47532182673,4.67031973261,3.65904693769,5.68522971061,4.95859028634,6.12775934433,4.28178788649,5.34934152347,4.4583590741,3.45438571598,1.9728688232,0.683756696966,1.7824685943,3.36855248746
